"gender","usage","credit","loan","history","accounts","status"
"男性",0.105953499982134,5000,0,0,7,0
"男性",1.05013955106027,1000,0,6,4,7
"男性",0,3000,0,2,0,2
"女性",1.17611345174722,6000,0,2,7,0
"男性",1.08696935881861,7000,0,2,2,2
"男性",0,3000,1367,0,5,2
"男性",1.01262171970215,3000,0,0,1,2
"男性",0.348457871205173,5000,0,0,5,0
"男性",1.10925542045385,3000,0,2,10,4
"女性",0.0918953192560002,1500,0,0,6,0
"男性",1.08856391073205,8000,4598,5,4,5
"男性",1.24844372698572,6000,1421,0,11,1
"女性",1.07204707129393,17000,0,1,1,0
"男性",1.06052023586351,2000,0,1,4,2
"男性",0.314976316010579,3000,0,0,1,0
"男性",0,5000,0,1,3,3
"男性",0.129948775544763,5000,0,0,3,0
"女性",0.586588241625577,2000,0,0,0,0
"男性",1.19782599844038,3000,1739,0,4,4
"男性",1.12454782673623,4000,0,0,2,0
"男性",1.06284382142592,3000,0,3,1,2
"女性",0.166871604300104,5000,0,1,1,0
"女性",1.73453690692782,5000,0,6,3,1
"男性",0.521202046014368,5000,993,3,3,2
"女性",0.609403549712151,10000,0,0,2,2
"男性",1.18351571646519,5000,0,1,9,7
"女性",0.827738585351035,5000,0,0,2,0
"男性",1.07857245968189,3000,0,1,17,0
"男性",1.28013260006905,5000,0,0,2,2
"男性",0.309486334342509,15000,0,4,5,4
"男性",1.1989766075043,5000,0,2,4,1
"男性",0.213169783982448,15000,1213,0,0,2
"男性",0.641153678228147,5000,0,0,0,2
"女性",1.01589705793653,10000,9541,1,6,3
"男性",1.34327784931287,14000,0,0,5,5
"男性",1.08219461829867,2000,0,0,0,0
"男性",0.681140653993934,5000,0,0,1,0
"男性",1.15474732884672,2000,0,7,5,2
"女性",0.918526775646023,3000,0,0,0,1
"女性",0.959937572204508,10000,0,1,11,0
"女性",1.15592113501392,50000,0,0,1,0
"女性",0.1509742462961,3000,0,0,0,0
"男性",0.241306033153087,10000,9220,2,13,0
"男性",0.908070544456132,3000,0,0,1,0
"男性",1.20190635163337,2000,0,3,7,3
"男性",0.702051546848379,5000,0,1,0,2
"女性",0,3000,0,0,1,0
"男性",1.42951565319207,5000,0,0,26,0
"男性",0.996418061344884,5000,0,3,7,2
"男性",0,5000,0,0,2,0
"男性",0.254330178736709,3000,0,0,0,0
"女性",1.2041568792006,10000,0,5,4,3
"男性",1.06710454571527,2000,0,4,0,2
"男性",0.213235085443594,5000,0,5,1,0
"男性",0.203771418388933,5000,0,4,1,3
"女性",0.394042958002538,5000,0,0,3,0
"男性",0.614855484813452,5000,0,0,1,1
"女性",0.875944352285005,3000,0,3,2,2
"女性",0.178466605553403,10000,0,0,1,0
"男性",0.528916736948304,7000,1021,1,0,0
"男性",0.880998478354886,3000,0,3,0,2
"男性",1.31156040317845,3000,2824,3,6,0
"男性",0.795034794714302,3000,0,1,2,2
"男性",1.28300019785296,20000,0,0,13,0
"男性",1.28958387088496,5000,3186,2,14,3
"女性",0.353179933829233,3000,0,0,1,0
"女性",0.232900754120201,3000,0,1,0,2
"男性",1.06032932412345,5000,0,0,2,0
"男性",1.07792496341746,3000,0,8,4,3
"男性",1.30900092551485,3000,0,2,1,2
"女性",0.537052511619404,3000,0,3,0,2
"男性",0.343275380521081,6000,1752,2,16,1
"女性",0.882121919528581,5000,7708,4,5,3
"女性",0.696219866401516,5000,0,0,0,0
"男性",0.335949739264324,3000,52583,1,2,2
"男性",1.17037620338611,3000,0,3,1,1
"男性",1.23216585216578,5000,0,3,1,2
"女性",1.43418473488186,1000,1100,5,7,2
"男性",0.738061289894395,5000,0,1,0,2
"男性",0.907515404885635,20000,0,0,3,0
"女性",0.774740279982798,3000,0,1,1,3
"女性",1.08442322839051,3000,0,0,0,0
"男性",2.46895437041298,2000,0,9,4,3
"女性",0.936147611592896,2000,3556,0,1,0
"男性",1.07935690639541,2000,0,0,12,0
"男性",0.802805840987712,3000,0,0,0,0
"女性",1.20043985778932,3000,0,7,0,1
"男性",1.16311618082691,1600,0,24,19,2
"女性",0.72040835683234,3000,0,3,2,3
"男性",1.18266166395973,3000,0,4,0,3
"男性",1.03875149873085,3000,0,1,1,1
"男性",1.03467167600524,5000,3666,0,0,0
"男性",0.494801200008951,5000,6952,0,2,0
"女性",0.164880645419471,3000,0,0,0,3
"男性",0.365228085969575,5000,1150,0,3,2
"男性",1.14066009867005,5000,0,6,3,2
"男性",0.930360187725164,3000,1342,0,4,2
"男性",0.64556749381125,3000,0,0,1,1
"男性",1.8308231094759,5000,0,0,3,6
"女性",0,5000,0,0,1,7
"女性",0.753194176577963,3000,0,3,1,7
"男性",1.3927794248471,1000,0,1,18,4
"女性",0,8000,1596,1,2,3
"女性",0.483926291018724,5000,0,2,1,0
"女性",1.04079513184261,5000,0,1,8,1
"女性",0.993331342688762,3000,0,1,0,3
"男性",0.149822482969612,3000,0,0,3,0
"女性",1.10702378448565,10000,0,9,5,4
"男性",0,5000,0,0,0,1
"男性",0.0328782395133749,5000,0,0,2,3
"女性",0.936937422845513,3000,0,7,17,4
"男性",0.611789476079866,10000,2510,0,1,0
"男性",1.50424129880499,4000,0,0,7,0
"男性",0.434240230838768,3000,0,3,0,2
"男性",0.531807447806932,10000,0,3,3,2
"男性",1.31936790877953,3000,0,3,0,2
"男性",1.12681023245212,5000,0,1,1,1
"男性",1.24432149418164,10000,0,4,1,1
"女性",1.12447460867465,5000,0,2,5,0
"男性",0.970639195339754,5000,0,1,4,2
"男性",1.02771035821643,3000,0,5,0,0
"女性",0.329527733344585,2000,0,0,1,2
"女性",0.309380689789541,7500,0,4,0,0
"男性",0.334917904483154,5000,0,0,1,0
"男性",1.32356734914705,5000,0,0,3,0
"女性",0.66031438656617,3000,0,4,0,1
"男性",1.14000936479308,5000,0,12,0,3
"女性",0.595399455232546,7000,1997,0,3,0
"女性",1.07030558835249,3000,0,2,0,0
"女性",0.560198422297835,6000,1325,10,1,0
"男性",1.1413235976873,3000,0,2,2,4
"女性",0.650395474457182,12000,0,6,0,2
"男性",1.2876151108183,5000,0,0,4,0
"男性",0.351285190563649,8000,0,0,4,1
"男性",0,3000,0,0,0,2
"男性",1.29658545457292,3000,0,7,4,3
"男性",0.708109852988273,5000,0,1,0,0
"男性",0.256788488500752,2000,0,0,0,0
"男性",0.389758151075803,2000,0,0,0,0
"女性",1.27236516807228,2500,0,2,11,2
"女性",0.48282280350104,3000,0,1,0,1
"男性",1.35859933124855,5000,0,3,14,5
"女性",1.01203212866094,3000,0,0,2,5
"男性",0.266209947839379,4000,0,0,0,0
